Antenna,Pad,Position X,Position Y,Position Z,Longitude,Latitude,High
,A128,2224747.04078,-5439516.3922,-2483126.39844,-67.75557529,-23.04340684,5065.697
,J510,2225063.93032,-5440117.01271,-2481554.94834,-67.7549325342,-23.0279726216,5072.76996108
CM01,N602,2225077.74057,-5440126.55881,-2481521.87231,-67.7548431575,-23.0276483336,5072.77444116
,A105,2225432.42056,-5439695.98604,-2482130.64321,-67.75005381,-23.03363594,5067.766
,A043,2225106.52552,-5440021.58714,-2481723.50367,-67.7541960462,-23.0296270589,5072.26367565
,A057,2225024.93671,-5440027.66896,-2481786.96684,-67.75495465,-23.03024318,5073.846
,A095,2225486.14324,-5439866.96417,-2481696.55682,-67.75020021,-23.02940113,5062.289
DA46,A058,2225037.245,-5440017.15807,-2481797.39465,-67.7548048044,-23.0303476597,5073.2605076
,A115,2224799.23874,-5439780.17036,-2482536.39103,-67.75607777,-23.03757618,5077.634
CM09,N603,2225069.54044,-5440129.89799,-2481521.87453,-67.7549294673,-23.0276484002,5072.76272857
DA51,A082,2225285.15001,-5439946.26777,-2481715.88219,-67.752306393,-23.0295711374,5067.36215783
,A125,2223799.95189,-5440242.52148,-2482325.09003,-67.76680092,-23.03564602,5040.745
,P406,2229162.3732,-5439600.00369,-2478624.47994,-67.71605272,-22.99984646,4915.948
,A136,2224597.46047,-5440371.91305,-2481412.42285,-67.76008197,-23.02657963,5071.65
DV09,A044,2225015.0613,-5440054.67028,-2481736.85518,-67.7551434,-23.02975206,5073.801
,A134,2224893.70975,-5439900.6621,-2482187.45464,-67.75567,-23.03415891,5076.635
,A106,2225259.02605,-5440313.52984,-2480957.07,-67.7538975129,-23.0221054132,5074.2944065
,A096,2224778.85926,-5440336.05216,-2481333.37899,-67.7583129232,-23.0257981027,5073.37265932
,A059,2225082.61444,-5440002.26999,-2481788.2294,-67.7543405,-23.03025957,5072.8
,P405,2228953.67079,-5439465.68507,-2479129.0971,-67.71743854,-23.00475476,4925.886
,A116,2225868.84707,-5439979.23323,-2481085.89301,-67.7471618,-23.02345217,5052.426
DA42,A081,2224861.25867,-5440081.6199,-2481811.61318,-67.7566305958,-23.030490277,5072.42125201
,A126,2226183.60432,-5439420.13687,-2482000.72612,-67.74225786,-23.03245419,5043.787
CM11,N604,2225062.81845,-5440114.03665,-2481562.39516,-67.7549315834,-23.0280456649,5072.76058471
,A135,2225502.74841,-5440019.08709,-2481352.66462,-67.75061189,-23.02602645,5063.13
,A093,2225185.68239,-5440183.98452,-2481299.1045,-67.75408117,-23.02546673,5072.162
DV17,A138,2225033.8287,-5439991.88794,-2481867.5461,-67.7547423707,-23.0310172842,5077.99012016
,A025,2225021.9154,-5440083.13981,-2481667.12204,-67.7551866201,-23.0290708615,5073.15971184
DA47,A074,2225174.04014,-5439957.85123,-2481797.80712,-67.7533516545,-23.0303620419,5070.56508603
CM04,N605,2225071.45363,-5440108.85249,-2481566.02704,-67.7548345394,-23.0280812203,5072.77387215
DV12,A010,2225088.25562,-5440077.29381,-2481619.72411,-67.7545664754,-23.0286077448,5072.75120368
DV06,A084,2225024.67913,-5439956.78952,-2481955.55278,-67.7546953957,-23.0318749395,5079.33719989
,A039,2225030.91238,-5440051.48398,-2481728.13008,-67.75498862,-23.02966884,5073.196
DA56,A064,2225107.37357,-5439996.01519,-2481779.7122,-67.7540940199,-23.0301761967,5072.76635586
,A122,2224146.54017,-5440725.69658,-2481002.2856,-67.76545574,-23.02262049,5055.565
,A054,2225064.7922,-5440018.30071,-2481770.38901,-67.754560468,-23.0300828752,5073.26621383
,A024,2225034.12371,-5440086.48603,-2481648.44008,-67.7550888162,-23.0288884906,5072.95508257
,S309,2229977.19493,-5435351.78652,-2486828.46303,-67.69298938,-23.08075397,4794.208
,A137,2225133.18931,-5440097.51186,-2481533.03932,-67.7542356677,-23.0277618609,5071.71884614
CM06,N606,2225081.62613,-5440108.60058,-2481557.49459,-67.7547418265,-23.0279976009,5072.765703
,P413,2232259.29044,-5440511.18942,-2473664.69546,-67.69149908,-22.95153734,4837.871
DV08,A073,2224908.05053,-5440123.42206,-2481686.16721,-67.7563626543,-23.0292495455,5075.25421525
,A124,2225712.00914,-5440363.08546,-2480420.3254,-67.74999362,-23.01688126,5064.468
PM01,T704,2225110.42963,-5440116.42847,-2481514.81288,-67.7545108306,-23.0275791305,5072.77285126
DV14,A083,2224943.80927,-5440201.52502,-2481486.75099,-67.7563282228,-23.0272907478,5076.2331992
CM10,J501,2225076.31452,-5440119.68765,-2481538.10367,-67.7548306671,-23.0278074645,5072.77393509
,A094,2224756.75898,-5440063.60148,-2481941.92945,-67.75750701,-23.03177085,5071.653
DV24,A038,2225016.69688,-5440059.81529,-2481722.55085,-67.7551476295,-23.0296142896,5073.15741966
DA54,A063,2225069.06963,-5440005.57892,-2481794.27043,-67.7544749238,-23.030317021,5073.2628421
,A123,2225276.98597,-5439463.02087,-2482830.27956,-67.75059634,-23.04041415,5088.967
,A023,2225050.61289,-5440086.97,-2481632.71016,-67.7549418244,-23.0287342625,5072.95869161
,S308,2229193.44267,-5435841.38523,-2486523.83275,-67.70187299,-23.07767516,4817.884
,A053,2225040.67007,-5440025.92159,-2481775.27208,-67.754806242,-23.0301307576,5073.26385875
,J512,2225081.12763,-5440112.16585,-2481550.17895,-67.7547594816,-23.0279258739,5072.76723827
,P412,2231066.37415,-5440910.81931,-2473976.68959,-67.70373002,-22.95442152,4883.14
DV01,A072,2225196.81299,-5440052.19359,-2481569.08016,-67.7534943666,-23.0281241594,5069.3823285
,A027,2225007.84279,-5440071.56254,-2481704.94597,-67.75527087,-23.02944156,5073.192
DA58,A091,2224772.16135,-5440229.23519,-2481574.93455,-67.75797922,-23.02816179,5074.536
,P402,2228786.97032,-5439339.93661,-2479516.92236,-67.7184773,-23.00860894,4912.18
,A037,2225046.28819,-5440055.11719,-2481705.41611,-67.7548632954,-23.0294478189,5072.76186313
,W209,2224114.84641,-5442156.42604,-2477928.97743,-67.77101783,-22.99246881,5062.339
CM02,J502,2225068.34368,-5440121.27474,-2481541.73897,-67.7549084423,-23.0278431161,5072.77083557
,A086,2224796.39211,-5440155.32157,-2481723.32288,-67.75748785,-23.02960304,5078.064
PM04,T703,2225102.08488,-5440096.07372,-2481565.77114,-67.7545110046,-23.0280799124,5072.46072724
,A110,2225145.34679,-5439668.69935,-2482442.63146,-67.75254334,-23.03669934,5066.577
DA43,A066,2225062.37061,-5440103.2739,-2481585.72797,-67.7548959055,-23.0282751694,5072.56408125
,W210,2224522.59404,-5441797.95907,-2478425.53268,-67.76601761,-22.99721884,5092.877
,A052,2225025.16794,-5440036.09248,-2481767.02449,-67.75498365,-23.03004976,5073.30000001
,S307,2229214.53662,-5437528.93549,-2483347.83023,-67.70792537,-23.04576203,5017.747
,A120,2224233.58643,-5439963.45253,-2482603.44537,-67.76185831,-23.0382899,5062.965
,P411,2230493.44052,-5440378.31056,-2475616.25172,-67.70692683,-22.97054242,4868.989
,A026,2225015.66109,-5440074.13079,-2481692.31814,-67.7552098048,-23.0293178672,5073.16346705
,A092,2225194.1493,-5439859.69148,-2482000.51276,-67.75280793,-23.03233902,5073.266
,A036,2225079.60983,-5440041.62045,-2481705.12749,-67.7545128328,-23.0294449901,5072.76166448
CM03,J503,2225074.12026,-5440116.5348,-2481546.90777,-67.7548388299,-23.0278938018,5072.76776981
,T702,2225039.66111,-5440119.11898,-2481571.98123,-67.7551592808,-23.0281396025,5072.77167646
,P401,2227499.01594,-5439891.47741,-2479588.52028,-67.73213198,-23.00912531,4960.588
DV10,A071,2225008.70053,-5440141.59537,-2481555.13054,-67.7555215742,-23.0279676225,5074.53929222
DA64,A085,2225268.14097,-5440066.74237,-2481468.53478,-67.7529045,-23.02714643,5067.297
,A111,2225520.71638,-5440191.32629,-2480972.36707,-67.7510855,-23.02228194,5067.366
,A065,2225111.28058,-5440082.41597,-2481585.52702,-67.7543776315,-23.0282762872,5071.75891521
DA52,A035,2225072.73973,-5440052.96544,-2481686.5555,-67.7546166884,-23.0292628937,5072.76642102
,S306,2228433.85202,-5437817.95269,-2483419.00709,-67.71603677,-23.04645421,5019.238
,A051,2225014.18151,-5440044.39272,-2481760.00897,-67.75511341,-23.02997907,5073.798
,A109,2224636.82235,-5440404.58614,-2481307.3528,-67.7598473606,-23.0255478472,5072.09580362
,A121,2226160.43283,-5439676.31975,-2481419.06623,-67.74341283,-23.02681844,5026.35999999
,W207,2222792.29007,-5441825.72179,-2479693.08992,-67.78173131,-23.00996327,5009.417
,A088,2225075.80892,-5440179.67286,-2481412.22632,-67.7550565952,-23.0265669451,5074.45538561
CM12,J504,2225086.82368,-5440113.37599,-2481542.48248,-67.7547125539,-23.0278504013,5072.77190088
DV04,A078,2224904.32325,-5440167.26615,-2481596.61797,-67.7565580764,-23.028367713,5076.27195151
,P410,2229254.24573,-5440456.83286,-2476683.03181,-67.71839052,-22.98080362,4919.604
,S305,2227357.21591,-5436304.76717,-2487169.04857,-67.7201566,-23.08397771,4824.573
,A020,2225040.9769,-5440067.7696,-2481683.60983,-67.7549579106,-23.0292325121,5073.15818473
,A060,2225071.98044,-5439996.29222,-2481812.65322,-67.7544143874,-23.0304961125,5073.55827755
,A050,2225077.26439,-5440034.98244,-2481721.68079,-67.7545094978,-23.029607261,5072.76595227
DV20,A034,2225026.97669,-5440075.45075,-2481679.35577,-67.7551125777,-23.0291908016,5073.15924287
DV21,A015,2225116.51455,-5440062.81831,-2481625.08547,-67.7542580822,-23.0286617926,5072.3637844
,W208,2223885.75921,-5442256.16369,-2477872.66596,-67.77345223,-22.99198113,5045.558
,A013,2225101.23588,-5440051.2604,-2481664.91168,-67.7543532828,-23.029050666,5072.77523352
DV02,A087,2225267.22881,-5439902.31751,-2481829.48232,-67.7523058763,-23.0306819503,5068.12353998
CM08,J505,2225060.91803,-5440127.73587,-2481534.28511,-67.7549992855,-23.0277700369,5072.77165183
,A090,2225374.08177,-5439985.50221,-2481540.53469,-67.75164881,-23.02786811,5063.175
DV19,A077,2225252.81923,-5440003.02231,-2481620.62968,-67.7528075697,-23.0286379985,5067.17764212
,S304,2227960.65624,-5437885.89151,-2483573.67082,-67.72055696,-23.04815,4972.539
DV18,A033,2224995.22142,-5440073.17092,-2481713.35471,-67.7553906857,-23.0295229923,5073.45438987
,A014,2225119.69589,-5440055.58979,-2481637.99591,-67.7542027011,-23.028788359,5072.36535131
CM05,J506,2225060.93081,-5440121.80725,-2481547.16186,-67.7549772914,-23.0278963108,5072.76309911
,A012,2225131.53728,-5440030.88067,-2481681.33304,-67.75400467,-23.02921311,5072.397
DV03,A002,2225083.1449,-5440055.70595,-2481671.31751,-67.7545329189,-23.0291135076,5072.76491924
DA57,A076,2224945.97845,-5440033.67206,-2481849.7077,-67.7556892346,-23.0308500417,5075.99679839
,A022,2225067.32703,-5440086.24181,-2481619.00423,-67.75478833,-23.0286005,5072.8
,A003,2225081.03099,-5440064.01211,-2481655.10593,-67.7545826458,-23.0289545833,5072.76174679
,S303,2227320.27495,-5436657.77741,-2486450.60523,-67.72179515,-23.07690826,4830.553
,W205,2221247.36504,-5442301.62932,-2479822.1106,-67.79742607,-23.01154054,4927.862
DV05,A062,2225008.3703,-5440036.90228,-2481781.53937,-67.7551382009,-23.0301900843,5073.8160145
,A032,2225002.3259,-5440084.89251,-2481680.85463,-67.75536984,-23.02920534,5073.2
,J507,2225087.25687,-5440117.25878,-2481533.64569,-67.7547229744,-23.0277637611,5072.77349604
,A089,2224941.25387,-5439968.36027,-2482011.641,-67.75549084,-23.03241434,5082.073
DV22,A011,2225130.36874,-5440025.14669,-2481695.4208,-67.7539940518,-23.0293503821,5072.61679398
DA61,A075,2225069.80516,-5440142.46414,-2481496.25532,-67.7549734524,-23.0273942638,5073.53752016
,A001,2225067.45713,-5440060.78833,-2481674.2145,-67.754693222,-23.0291419217,5072.7617462
DA59,A021,2225061.37378,-5440071.98022,-2481655.27094,-67.7547894134,-23.0289561886,5072.76498484
,S302,2226617.26455,-5437438.93315,-2485546.15727,-67.73102649,-23.06778649,4896.006
,W206,2222534.77231,-5441895.98127,-2479739.82078,-67.78431394,-23.01046538,4997.928
DV11,A031,2225012.8555,-5440091.06836,-2481657.91458,-67.7552976246,-23.0289806107,5073.15499798
,J508,2225076.59128,-5440123.61227,-2481529.3011,-67.7548426533,-23.0277211807,5072.77006245
,A061,2225024.01214,-5440016.5748,-2481811.94303,-67.75492205,-23.03048805,5073.84499999
